"","collection_id","sample_id","old_sample_id","photo_id_no","skeletal_sample","pub_author","pub_year","collection_period_from","collection_period_to","collection_date","extract_date","extract_method","collected_by","host_group","host_order","host_family","host_genus","host_species","host_id_date","host_id_by","host_id_method","host_id_changed_from_publication","host_id_changed_from","host_morphotype","corallite_size_mm","colony_sex","ocean","country","region","subregion","area","location","site","shelf_position","latitude","longitude","reef_type","avg_depth","depth_min","depth_max","sym_genus_1","sym_genus_2","sym_genus_3","sym_type_1","sym_type_2","sym_type_3","sym_type_id_year","sym_type_author","sym_type_changed_from","comment_field_coral_id","comment_symbiont_profile","comment_sample_processing"
"3171","LZin08","LZin08_069",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Poritidae","Porites","Porites_nigrescens",2018,"Sampayo","photo","yes","Porites_cylindrica",NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C15",NA,NA,NA,NA,NA,NA,NA,NA
"3172","LZin08","LZin08_070",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Acroporidae","Montipora","Montipora_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C26",NA,NA,NA,NA,NA,NA,NA,NA
"3173","LZin08","LZin08_074",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Pocilloporidae","Stylophora","Stylophora_pistillata",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C8",NA,NA,NA,NA,NA,NA,NA,NA
"3174","LZin08","LZin08_075",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Pocilloporidae","Pocillopora","Pocillopora_meandrina",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C1c-42a",NA,NA,NA,NA,NA,NA,NA,NA
"3175","LZin08","LZin08_078",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_frondens",2023,"sampayo",NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3176","LZin08","LZin08_079",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","soft_coral","Alcyonacea","Xeniidae","Heteroxenia","Heteroxenia_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"Symbiodinium_sp_ex_heteroxenia",NA,NA,NA,NA,NA,NA,NA,NA
"3177","LZin08","LZin08_081",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Merulinidae","Goniastrea","Goniastrea_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C26",NA,NA,NA,NA,NA,NA,NA,NA
"3178","LZin08","LZin08_082",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Poritidae","Porites","Porites_solida",2018,"sampayo","photo",NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3179","LZin08","LZin08_083",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Dendrophylliidae","Turbinaria","Turbinaria_frondens",2023,"sampayo",NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"this sample number occurs twice, maybe an issue with numbering or could be incorrect"
"3180","LZin08","LZin08_084",NA,NA,NA,"Tonk","2014",2007,2008,2008-09-24,NA,NA,"Tonk","hard_coral","Scleractinia","Merulinidae","Goniastrea","Goniastrea_sp",NA,NA,NA,NA,NA,NA,NA,NA,"Pacific","Australia","Eastern_Australia","nGBR","Lizard","Gunga_Shoal",NA,"inner",-14.670792,145.198845,NA,4.5,3,6,"Cladocopium",NA,NA,"C26",NA,NA,NA,NA,NA,NA,NA,NA
